model,prompt_id,generation_id,seed,target_phonics,word_count,unique_word_count,permitted_ceiling_stage,permitted_ceiling_label,above_level_rate,decodability_compliance,distinct_above_level_rate,distinct_decodability_compliance,on_or_below_level_rate,above_level_word_occurrences,above_level_distinct_words,mean_above_level_distance,max_above_level_distance,weighted_above_level_rate,above_level_words,targets_requested,targets_passed,target_satisfaction_rate,full_spec_pass,targets_passed_list,targets_failed_list,phonics_leakage,phonics_leakage_terms,has_title,detected_title,short_vowel_distinct_count,short_vowel_words,blend_distinct_count,blend_words,digraph_distinct_count,digraph_words,final_e_distinct_count,final_e_words,vowel_team_distinct_count,vowel_team_words,r_controlled_distinct_count,r_controlled_words,diphthong_distinct_count,diphthong_words,multisyllabic_distinct_count,multisyllabic_words,consonant_blends_distinct_count,consonant_digraphs_distinct_count,diphthongs_distinct_count,final_e_words_distinct_count,multisyllabic_words_distinct_count,r_controlled_vowels_distinct_count,short_vowel_words_distinct_count,target_distinct__blend,target_distinct__digraph,target_pass__blend,target_pass__digraph,vowel_teams_distinct_count
base,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",177,107,6,diphthongs,0.2599,0.7401,0.3178,0.6822,0.7401,46,34,1.0,1,0.2599,"adventure, around, became, becoming, before, bigger, colorful, even, every, everyone, flowers, forever, garden, grander, growing, happened, happening, happier, inside, little, magic, magical, morning, something, special, started, stronger, suddenly, taller, treehouse, understand, upon, very, wooden",2,2,1.0,1,"diphthongs, consonant digraphs",,0,,1,The Magic Treehouse Adventure,21,"asked, big, but, by, did, else, full, got, had, he, if, is, it, job, know, lived, max, named, on, so, up",22,"and, around, bloom, child, flowers, grander, grow, growing, plant, small, special, started, stays, still, stop, strange, stronger, tree, treehouse, trees, understand, world",15,"becoming, child, each, growing, happening, morning, something, strange, stronger, than, that, then, things, this, whole",11,"adventure, became, before, came, everyone, inside, make, more, time, treehouse, whole",12,"bloom, day, each, happier, knew, looked, see, stays, tree, treehouse, trees, wooden",19,"adventure, around, before, bigger, colorful, every, everyone, flowers, forever, garden, grander, happier, more, morning, started, stronger, taller, understand, world",10,"around, boy, flowers, growing, how, knows, now, saw, toys, treehouse",34,"adventure, around, became, becoming, before, bigger, colorful, even, every, everyone, flowers, forever, garden, grander, growing, happened, happening, happier, inside, little, magic, magical, morning, something, special, started, stronger, suddenly, taller, treehouse, understand, upon, very, wooden",22,15,10,11,34,19,21,,15,,1,12
tuned,diphthongs_digraphs_1,3,1003,"diphthongs, consonant digraphs",47,31,6,diphthongs,0.0638,0.9362,0.0968,0.9032,0.9362,3,3,1.0,1,0.0638,"shining, tired, title",2,0,0.0,0,,"diphthongs, consonant digraphs",0,,1,A Trip to the Beach,9,"dad, had, mom, on, so, sun, us, we, wet",5,"and, sand, treats, trip, went",3,"beach, much, shining",2,"gave, time",3,"beach, took, treats",1,tired,2,"down, laughed",3,"shining, tired, title",5,3,2,2,3,1,9,,3,,0,3
base,final_e_blends_1,1,1001,"final-e words, consonant blends",208,132,3,final-e words,0.3798,0.6202,0.4848,0.5152,0.6202,79,64,2.962,4,1.125,"about, adventure, after, all, books, boy, called, cherry, colorful, day, decided, different, each, echoes, ended, every, everyday, first, flowers, found, friendly, friends, fruit, fruits, garden, girl, grumble, happy, her, hidden, interesting, joy, kindness, knew, leaving, lila, magic, magical, many, more, new, now, play, princess, second, shiny, small, soon, squirrel, stories, tail, tale, third, together, took, tree, trees, very, visit, walked, wanted, within, year, young",2,2,1.0,1,"final-e words, consonant blends",,0,,1,The Happy Garden of Lila,28,"am, an, as, be, big, but, can, cat, dog, go, got, had, he, his, i, in, it, lived, lives, loved, man, max, met, named, on, own, saved, so",29,"and, brave, bring, brings, different, felt, find, first, flowers, found, friendly, friends, fruit, fruits, grove, grumble, most, old, place, play, princess, second, small, squirrel, stones, stories, told, tree, trees",18,"back, bring, brings, cherry, each, echoes, interesting, leaving, she, shiny, that, them, things, third, together, with, within, young",10,"adventure, brave, came, gave, grove, life, more, place, tale, wise",21,"books, day, each, echoes, everyday, friendly, friends, fruit, fruits, knew, leaving, new, play, soon, squirrel, stories, tail, took, tree, trees, year",19,"adventure, after, cherry, colorful, different, every, everyday, first, flowers, garden, girl, her, interesting, more, squirrel, stories, third, together, year",7,"about, boy, flowers, found, joy, now, young",34,"about, adventure, after, cherry, colorful, decided, different, echoes, ended, every, everyday, flowers, friendly, garden, grumble, happy, hidden, interesting, kindness, leaving, lila, magic, magical, many, princess, second, shiny, squirrel, stories, together, very, visit, wanted, within",29,18,7,10,34,19,28,29,,1,,21
tuned,final_e_blends_1,1,1001,"final-e words, consonant blends",28,19,3,final-e words,0.0714,0.9286,0.1053,0.8947,0.9286,2,2,2.5,4,0.1786,"play, title",2,0,0.0,0,,"final-e words, consonant blends",0,,1,The Big Bat,11,"at, bat, bats, big, can, fun, has, in, is, lot, sun",1,play,0,,1,home,1,play,0,,0,,1,title,1,0,0,1,1,0,11,1,,0,,1
base,final_e_blends_1,2,1002,"final-e words, consonant blends",205,134,3,final-e words,0.4341,0.5659,0.5075,0.4925,0.5659,89,68,3.1124,4,1.3512,"about, adventure, all, also, animals, around, beauty, because, bigger, bird, book, called, creature, curious, day, discover, each, ended, especially, every, exploring, followed, for, forest, found, group, happening, happy, heard, hidden, himself, knew, learn, learned, little, looked, magic, many, maple, message, muffy, nature, new, noticed, now, oak, out, owl, part, returned, saw, see, showed, simple, small, something, sound, story, titled, together, tree, turned, walked, wonders, woods, world, years, young",2,2,1.0,1,"final-e words, consonant blends",,0,,1,The Happy Forest Adventure,20,"as, big, can, ends, fox, full, had, he, i, in, is, it, lived, lives, loved, met, named, on, tell, up",22,"and, around, bridge, creature, felt, fly, forest, found, group, grove, himself, just, old, place, small, soft, sound, stone, story, strong, tree, world",19,"each, exploring, happening, long, path, showed, something, song, strong, than, that, them, then, things, together, when, while, with, young",12,"adventure, came, creature, grove, home, message, nature, place, stone, time, while, wise",16,"beauty, book, creature, day, each, heard, knew, learn, learned, looked, new, oak, see, tree, woods, years",23,"adventure, around, bigger, bird, creature, curious, discover, every, exploring, for, forest, heard, learn, learned, nature, part, returned, story, together, turned, wonders, world, years",14,"about, around, beauty, curious, followed, found, group, now, out, owl, saw, showed, sound, young",36,"about, adventure, also, animals, around, beauty, because, bigger, creature, curious, discover, ended, especially, every, exploring, followed, forest, happening, happy, hidden, himself, little, magic, many, maple, message, muffy, nature, noticed, returned, simple, something, story, titled, together, wonders",22,19,14,12,36,23,20,22,,1,,16
tuned,final_e_blends_1,2,1002,"final-e words, consonant blends",103,69,3,final-e words,0.2816,0.7184,0.3333,0.6667,0.7184,29,23,2.5862,4,0.7282,"all, amazing, down, each, faster, feels, finish, first, for, friends, herself, how, meet, mia, need, proud, rivals, seconds, team, title, turn, wait, year",2,2,1.0,1,"final-e words, consonant blends",,0,,1,The Big Race,24,"at, be, big, but, by, ca, fun, get, gets, has, he, his, in, is, it, let, next, not, run, runs, sam, so, will, wins",8,"and, best, fast, first, friends, herself, place, proud",9,"amazing, each, finish, much, she, than, them, this, when",4,"line, made, place, race",8,"each, feels, friends, meet, need, team, wait, year",6,"faster, first, for, herself, turn, year",3,"down, how, proud",8,"amazing, faster, finish, herself, mia, rivals, seconds, title",8,9,3,4,8,6,24,8,,1,,8
base,final_e_blends_1,3,1003,"final-e words, consonant blends",147,97,3,final-e words,0.3741,0.6259,0.4433,0.5567,0.6259,55,43,2.8909,4,1.0816,"adventure, after, all, animals, apples, bananas, bear, continued, day, decided, energy, favorite, food, foods, for, forest, found, friendship, fur, green, happy, heard, heart, high, himself, how, joy, looked, loud, now, prosper, saw, shared, shiny, small, sound, standing, stayed, tall, together, trees, wonder, young",2,2,1.0,1,"final-e words, consonant blends",,0,,1,The Happy Forest Adventure,25,"big, can, edge, filled, fox, full, go, had, he, helped, hill, him, his, i, if, in, it, lived, max, named, nuts, on, ran, red, so",19,"and, find, forest, found, friendship, green, grow, help, himself, jump, left, prosper, small, sound, standing, stayed, still, trees, wild",13,"back, friendship, long, shared, shiny, standing, that, this, together, when, white, with, young",5,"adventure, favorite, made, pile, white",13,"bear, continued, day, food, foods, friendship, green, heard, heart, high, looked, stayed, trees",14,"adventure, after, bear, energy, favorite, for, forest, fur, heard, heart, prosper, shared, together, wonder",8,"found, how, joy, loud, now, saw, sound, young",18,"adventure, after, animals, apples, bananas, continued, decided, energy, favorite, forest, friendship, happy, himself, prosper, shiny, standing, together, wonder",19,13,8,5,18,14,25,19,,1,,13
tuned,final_e_blends_1,3,1003,"final-e words, consonant blends",82,54,3,final-e words,0.2927,0.7073,0.3889,0.6111,0.7073,24,21,2.875,4,0.8415,"animals, barn, birds, cow, cows, family, farm, farmyard, for, goodbye, happy, horses, into, look, looks, many, say, see, small, title, very",2,1,0.5,0,consonant blends,final-e words,0,,1,A Trip to the Farmyard,13,"as, at, be, big, by, has, hug, on, red, run, sad, so, will",7,"and, grass, just, left, small, spot, trip",3,"back, them, then",1,ride,5,"goodbye, look, looks, say, see",6,"barn, birds, farm, farmyard, for, horses",2,"cow, cows",10,"animals, family, farmyard, goodbye, happy, horses, into, many, title, very",7,3,2,1,10,6,13,7,,1,,5
base,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",202,128,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,3,1.0,1,"multisyllabic words, vowel teams, r-controlled vowels",,0,,1,The Happy Garden of Lila,21,"as, be, big, box, can, filled, full, fun, had, he, in, it, lived, lot, loved, man, map, met, named, so, used",23,"and, count, creatures, different, flavor, flowers, forest, found, grow, important, old, plant, plants, played, small, sound, special, squirrels, stalk, sweet, told, treehouse, trees",17,"changed, coming, morning, sang, saying, she, showed, something, that, then, things, this, together, weather, when, which, with",10,"became, everyone, gave, home, inside, like, more, treehouse, village, wise",19,"book, books, creatures, day, food, learn, learned, leaves, new, played, rain, read, saying, seeds, squirrels, sweet, treehouse, trees, weather",29,"bird, birds, colorful, corn, creatures, curious, different, discovered, everyone, flavor, flowers, for, forest, garden, girl, her, important, learn, learned, letters, more, morning, number, part, squirrels, together, weather, word, words",9,"about, count, curious, flowers, found, how, showed, sound, treehouse",39,"about, also, animals, basket, became, because, colorful, coming, creatures, curious, different, discovered, everyone, family, flavor, flowers, forest, garden, happy, important, inside, letters, lila, magic, many, morning, noticed, number, people, rabbits, saying, something, special, squirrels, together, treehouse, very, village, weather",23,17,9,10,39,29,21,,,,,19
tuned,multisyllabic_vowel_teams_r_controlled_1,1,1001,"multisyllabic words, vowel teams, r-controlled vowels",139,85,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,2,0.6667,0,"multisyllabic words, vowel teams",r-controlled vowels,0,,1,The Family Trip to the Zoo,30,"an, asked, at, big, dad, did, dog, fun, got, had, is, it, kids, lived, log, lot, lots, mom, nap, not, on, ran, red, sam, sat, so, tom, top, up, us",7,"and, blue, fast, frog, stop, trip, went",11,"amazing, duck, lunch, running, taking, that, then, think, this, when, with",1,time,6,"blue, day, new, questions, see, zoo",3,"for, pictures, turtle",3,"about, enjoy, saw",13,"about, amazing, animals, enjoy, family, happy, pictures, questions, running, taking, title, turtle, until",7,11,3,1,13,3,30,,,,,6
base,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",209,139,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,3,1.0,1,"multisyllabic words, vowel teams, r-controlled vowels",,1,"multisyllabic, phonics",1,The Forest Hunt,24,"as, at, be, big, but, by, fox, full, had, he, him, his, if, in, it, lived, map, met, named, next, on, r, red, used",29,"and, around, bold, closer, clues, correct, felt, find, flying, forest, found, group, help, hunt, important, just, old, place, skills, special, squirrel, stars, step, strange, told, treasures, trees, understand, world",25,"bush, check, each, feathers, flying, following, hiding, listening, long, much, phonics, searching, shimmering, something, strange, that, them, themselves, then, this, understanding, using, which, with, young",7,"above, like, more, nose, place, time, wise",19,"clues, day, each, feathers, food, heart, high, learn, learned, looked, new, realized, searching, sight, soon, squirrel, took, treasures, trees",32,"after, around, birds, closer, correct, every, feathers, for, forest, heart, importance, important, journey, learn, learned, letter, letters, marked, more, normal, number, searching, shimmering, squirrel, stars, treasures, under, understand, understanding, word, words, world",10,"around, followed, following, found, group, how, journey, owl, saw, young",44,"above, after, also, around, began, closer, correct, every, family, feathers, flying, followed, following, forest, given, hidden, hiding, importance, important, included, journey, letter, letters, listening, multisyllabic, normal, noticed, number, phonics, rabbit, realized, searching, shimmering, something, special, squirrel, symbol, themselves, timmy, treasures, under, understand, understanding, using",29,25,10,7,44,32,24,,,,,19
tuned,multisyllabic_vowel_teams_r_controlled_1,2,1002,"multisyllabic words, vowel teams, r-controlled vowels",77,54,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,3,1.0,1,"multisyllabic words, vowel teams, r-controlled vowels",,0,,1,The Farmhouse,14,"at, big, dad, fell, get, got, had, it, kids, log, mom, on, run, up",6,"around, flew, playing, pond, sleep, went",7,"back, chicken, duck, ducks, playing, shed, when",5,"came, farmhouse, home, made, wide",11,"asleep, coop, feed, flew, hay, looked, near, night, pie, playing, sleep",6,"around, barn, farmhouse, for, near, yard",3,"around, farmhouse, out",7,"around, asleep, chicken, farmhouse, pancakes, playing, title",6,7,3,5,7,6,14,,,,,11
base,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",138,102,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,3,1.0,1,"multisyllabic words, vowel teams, r-controlled vowels",,0,,1,The Forest's Whisper,17,"an, as, at, big, but, did, fell, full, he, in, lived, map, moss, named, next, so, tim",20,"and, bridge, creature, felt, find, forest, found, giant, growing, just, old, plant, pond, small, squirrel, stone, strange, tree, trees, world",19,"along, growing, leading, morning, others, path, revealing, saying, shape, something, songs, strange, such, than, then, things, whisper, with, young",7,"before, creature, made, more, shape, stone, voice",19,"creature, day, deep, heard, knew, leading, leaf, learned, look, new, oak, raccoon, revealing, saying, see, squirrel, tree, trees, wood",16,"before, carefully, creature, curious, ever, forest, heard, learned, more, morning, others, river, squirrel, under, whisper, world",9,"about, curious, found, growing, how, now, saw, voice, young",32,"about, along, animal, before, carefully, creature, curious, even, ever, forest, giant, growing, happy, hidden, hummed, into, leading, listen, many, morning, noticed, others, raccoon, revealing, river, saying, something, squirrel, under, unusual, water, whisper",20,19,9,7,32,16,17,,,,,19
tuned,multisyllabic_vowel_teams_r_controlled_1,3,1003,"multisyllabic words, vowel teams, r-controlled vowels",76,56,7,multisyllabic words,0.0,1.0,0.0,1.0,1.0,0,0,0.0,0,0.0,,3,3,1.0,1,"multisyllabic words, vowel teams, r-controlled vowels",,0,,1,A Family on the Farm,21,"am, at, be, but, can, dad, did, dogs, go, his, i, if, is, kids, mom, not, on, ran, run, up, will",2,"and, grandparent",9,"back, children, going, reading, them, this, when, while, with",2,"home, while",4,"hear, news, reading, week",5,"barn, farm, forget, grandparent, hear",3,"about, going, out",9,"about, children, family, forget, going, grandparent, reading, title, visit",2,9,3,2,9,5,21,,,,,4
